Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
2024-04-05T12:03:54.089,,2,1,72:29:3e:9e:a3:96,-81,37
2024-04-05T12:03:54.089,,0,1,4e:9f:4d:0e:9e:98,-86,39
2024-04-05T12:03:54.089,,3,1,e2:48:e5:5c:25:2c,-93,37
2024-04-05T12:03:54.089,,0,1,61:a7:ef:16:67:4c,-81,39
2024-04-05T12:03:54.089,,0,1,ff:cb:d1:dc:df:ea,-57,39
2024-04-05T12:03:54.089,,0,1,4e:03:96:3b:16:e3,-93,37
2024-04-05T12:03:54.089,,3,1,75:1a:41:ce:ee:a7,-92,37
2024-04-05T12:03:54.089,,0,1,ff:cb:d1:dc:df:ea,-45,37
2024-04-05T12:03:54.089,,0,1,f0:dd:20:1b:af:a7,-86,39
2024-04-05T12:03:54.089,,0,1,f8:1f:0e:2c:fe:1b,-83,37
2024-04-05T12:03:54.089,,2,1,72:29:3e:9e:a3:96,-64,39
2024-04-05T12:03:54.089,,0,1,f8:1f:0e:2c:fe:1b,-79,39
2024-04-05T12:03:54.099,,2,1,51:f1:c7:f6:7a:17,-92,37
2024-04-05T12:03:54.099,,0,1,4f:18:1d:2a:64:ec,-83,37
2024-04-05T12:03:54.099,,0,1,d4:5f:d6:56:8f:d4,-85,39
2024-04-05T12:03:54.099,,0,1,61:a7:ef:16:67:4c,-72,37
2024-04-05T12:03:54.099,,3,1,ef:72:90:df:6f:60,-79,39
2024-04-05T12:03:54.099,,0,0,c0:09:02:12:4f:1b,-87,39
2024-04-05T12:03:54.109,,0,1,f8:1f:0e:2c:fe:1b,-81,39
2024-04-05T12:03:54.109,,0,1,4e:9f:4d:0e:9e:98,-87,37
2024-04-05T12:03:54.109,,2,1,72:29:3e:9e:a3:96,-66,39
2024-04-05T12:03:54.109,,0,1,64:5a:42:25:e1:50,-89,37
2024-04-05T12:03:54.109,,3,1,fb:67:41:5e:dc:57,-90,37
2024-04-05T12:03:54.119,WHOOP VOZDA,0,1,ee:7b:43:db:4e:30,-91,37
2024-04-05T12:03:54.119,,0,1,79:b5:02:ec:d9:c4,-86,37
2024-04-05T12:03:54.139,,0,1,4c:5f:f3:0f:15:29,-95,37
2024-04-05T12:03:54.149,,0,1,f0:dd:20:1b:af:a7,-85,39
2024-04-05T12:03:54.149,,0,0,14:13:0b:44:19:e5,-77,37
2024-04-05T12:03:54.149,,0,0,14:13:0b:44:19:e5,-77,39
2024-04-05T12:03:54.149,,0,1,f0:dd:20:1b:af:a7,-84,37
2024-04-05T12:03:54.179,,3,1,d7:6b:3e:11:ba:70,-84,39
2024-04-05T12:03:54.179,,0,1,cb:94:8a:1e:37:ee,-97,38
